,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad,ccaa_iso_txt,dia_sem,dia_year,dia_mes,is_weekend,XGBoost,AdaBoost,RandomForest,GradientBoosting,predict,casos_acum,predict_acum
0,0,2020-01-31,0,0,0,0,0,Andalucía,5.0,-1.0,33.0,15.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381,ES-AN,4,31,31,0,,,,,0.0,0,0.0
1,1,2020-01-31,0,0,0,0,0,Aragón,3.0,7.0,42.0,10.0,1.0,-3.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103,ES-AR,4,31,31,0,,,,,0.0,0,0.0
2,2,2020-01-31,0,0,0,0,0,Principado de Asturias,0.0,-1.0,20.0,8.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314,ES-AS,4,31,31,0,,,,,0.0,0,0.0
3,3,2020-01-31,0,0,0,0,0,Cantabria,6.0,4.0,53.0,4.0,-1.0,-2.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012,ES-CB,4,31,31,0,,,,,0.0,0,0.0
4,4,2020-01-31,0,0,0,0,0,Ceuta,-3.0,-6.0,3.0,-38.617647058823536,-1.0,5.666666666666666,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798,ES-CE,4,31,31,0,,,,,0.0,0,0.0
5,5,2020-01-31,0,0,0,0,0,Castilla y León,5.0,2.0,28.0,15.0,1.0,-3.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.56111081816821,ES-CL,4,31,31,0,,,,,0.0,0,0.0
6,6,2020-01-31,0,0,0,0,0,Castilla - La Mancha,9.0,0.0,36.0,13.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474,ES-CM,4,31,31,0,,,,,0.0,0,0.0
7,7,2020-01-31,0,0,0,0,0,Canarias,-4.0,-2.0,5.0,0.0,-2.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916,ES-CN,4,31,31,0,,,,,0.0,0,0.0
8,8,2020-01-31,1,1,0,0,0,Cataluña,2.0,-1.0,17.0,8.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.03594158033331,ES-CT,4,31,31,0,,,,,1.0,1,1.0
9,9,2020-01-31,0,0,0,0,0,Extremadura,4.0,-3.0,32.0,11.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815,ES-EX,4,31,31,0,,,,,0.0,0,0.0
10,10,2020-01-31,0,0,0,0,0,Galicia,0.0,-2.0,-16.0,-2.0,-1.0,0.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962568,ES-GA,4,31,31,0,,,,,0.0,0,0.0
11,11,2020-01-31,0,0,0,0,0,Illes Balears,5.0,-2.0,11.0,9.0,2.0,0.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.27379395036968,ES-IB,4,31,31,0,,,,,0.0,0,0.0
12,12,2020-01-31,0,0,0,0,0,Murcia,2.0,-2.0,28.0,6.0,1.0,-2.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756,ES-MC,4,31,31,0,,,,,0.0,0,0.0
13,13,2020-01-31,4,4,0,0,0,Comunidad de Madrid,-1.0,-2.0,31.0,7.0,-1.0,-2.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924804,ES-MD,4,31,31,0,,,,,4.0,4,4.0
14,14,2020-01-31,0,0,0,0,0,Melilla,-4.0,-2.0,6.0,-10.0,1.0,1.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898875,ES-ML,4,31,31,0,,,,,0.0,0,0.0
15,15,2020-01-31,0,0,0,0,0,Comunidad Foral de Navarra,1.0,-2.0,34.0,-29.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647,ES-NC,4,31,31,0,,,,,0.0,0,0.0
16,16,2020-01-31,0,0,0,0,0,País Vasco,-3.0,-3.0,39.0,9.0,0.0,-3.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406,ES-PV,4,31,31,0,,,,,0.0,0,0.0
17,17,2020-01-31,0,0,0,0,0,La Rioja,0.0,0.0,27.0,7.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107,ES-RI,4,31,31,0,,,,,0.0,0,0.0
18,18,2020-01-31,4,3,1,0,0,Comunitat Valenciana,2.0,0.0,33.0,0.0,-1.0,-1.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.1056813477483,ES-VC,4,31,31,0,,,,,4.0,4,4.0
19,0,2020-02-01,2,2,0,0,0,Andalucía,6.0,4.0,17.0,10.0,1.0,-4.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381,ES-AN,5,32,1,1,,,,,2.0,2,2.0
20,1,2020-02-01,0,0,0,0,0,Aragón,-2.0,14.0,20.0,8.0,-3.0,-4.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103,ES-AR,5,32,1,1,,,,,0.0,0,0.0
21,2,2020-02-01,0,0,0,0,0,Principado de Asturias,2.0,1.0,11.0,6.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314,ES-AS,5,32,1,1,,,,,0.0,0,0.0
22,3,2020-02-01,0,0,0,0,0,Cantabria,14.0,6.0,12.0,0.0,-1.0,-1.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012,ES-CB,5,32,1,1,,,,,0.0,0,0.0
23,4,2020-02-01,0,0,0,0,0,Ceuta,3.0,-4.0,10.0,-39.23529411764706,1.0,2.333333333333333,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798,ES-CE,5,32,1,1,,,,,0.0,0,0.0
24,5,2020-02-01,0,0,0,0,0,Castilla y León,10.0,9.0,37.0,16.0,-1.0,-3.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.56111081816821,ES-CL,5,32,1,1,,,,,0.0,0,0.0
25,6,2020-02-01,0,0,0,0,0,Castilla - La Mancha,10.0,6.0,40.0,11.0,0.0,-3.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474,ES-CM,5,32,1,1,,,,,0.0,0,0.0
26,7,2020-02-01,0,0,0,0,0,Canarias,-3.0,-2.0,5.0,2.0,-2.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916,ES-CN,5,32,1,1,,,,,0.0,0,0.0
27,8,2020-02-01,8,6,0,0,2,Cataluña,-6.0,2.0,4.0,4.0,-2.0,-1.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.03594158033331,ES-CT,5,32,1,1,,,,,8.0,9,9.0
28,9,2020-02-01,0,0,0,0,0,Extremadura,5.0,6.0,21.0,11.0,0.0,-3.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815,ES-EX,5,32,1,1,,,,,0.0,0,0.0
29,10,2020-02-01,0,0,0,0,0,Galicia,-11.0,-17.0,-31.0,1.0,-3.0,1.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962568,ES-GA,5,32,1,1,,,,,0.0,0,0.0
30,11,2020-02-01,0,0,0,0,0,Illes Balears,1.0,5.0,4.0,8.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.27379395036968,ES-IB,5,32,1,1,,,,,0.0,0,0.0
31,12,2020-02-01,0,0,0,0,0,Murcia,-2.0,0.0,1.0,7.0,-1.0,-1.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756,ES-MC,5,32,1,1,,,,,0.0,0,0.0
32,13,2020-02-01,9,9,0,0,0,Comunidad de Madrid,3.0,4.0,34.0,4.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924804,ES-MD,5,32,1,1,,,,,9.0,13,13.0
33,14,2020-02-01,0,0,0,0,0,Melilla,1.0,-13.0,-2.0,-6.0,-2.0,0.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898875,ES-ML,5,32,1,1,,,,,0.0,0,0.0
34,15,2020-02-01,0,0,0,0,0,Comunidad Foral de Navarra,6.0,0.0,28.0,-25.0,0.0,-3.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647,ES-NC,5,32,1,1,,,,,0.0,0,0.0
35,16,2020-02-01,0,0,0,0,0,País Vasco,4.0,2.0,7.0,8.0,1.0,-2.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406,ES-PV,5,32,1,1,,,,,0.0,0,0.0
36,17,2020-02-01,0,0,0,0,0,La Rioja,4.0,4.0,14.0,17.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107,ES-RI,5,32,1,1,,,,,0.0,0,0.0
37,18,2020-02-01,1,1,0,0,0,Comunitat Valenciana,-3.0,0.0,8.0,1.0,-2.0,-2.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.1056813477483,ES-VC,5,32,1,1,,,,,1.0,5,5.0
38,0,2020-02-02,2,1,1,0,0,Andalucía,0.0,0.0,10.0,8.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381,ES-AN,6,33,2,1,,,,,2.0,4,4.0
39,1,2020-02-02,0,0,0,0,0,Aragón,-1.0,8.0,14.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103,ES-AR,6,33,2,1,,,,,0.0,0,0.0
40,2,2020-02-02,0,0,0,0,0,Principado de Asturias,-2.0,0.0,-13.0,3.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314,ES-AS,6,33,2,1,,,,,0.0,0,0.0
41,3,2020-02-02,0,0,0,0,0,Cantabria,-4.0,-1.0,-16.0,-5.0,2.0,1.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012,ES-CB,6,33,2,1,,,,,0.0,0,0.0
42,4,2020-02-02,0,0,0,0,0,Ceuta,-3.0,0.0,8.0,-39.852941176470594,3.0,-1.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798,ES-CE,6,33,2,1,,,,,0.0,0,0.0
43,5,2020-02-02,0,0,0,0,0,Castilla y León,1.0,4.0,11.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.56111081816821,ES-CL,6,33,2,1,,,,,0.0,0,0.0
44,6,2020-02-02,0,0,0,0,0,Castilla - La Mancha,-1.0,2.0,8.0,6.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474,ES-CM,6,33,2,1,,,,,0.0,0,0.0
45,7,2020-02-02,1,0,0,0,1,Canarias,-3.0,-2.0,-2.0,1.0,2.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916,ES-CN,6,33,2,1,,,,,1.0,1,1.0
46,8,2020-02-02,2,1,0,0,1,Cataluña,0.0,1.0,10.0,4.0,2.0,0.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.03594158033331,ES-CT,6,33,2,1,,,,,2.0,11,11.0
47,9,2020-02-02,2,0,2,0,0,Extremadura,-2.0,2.0,5.0,1.0,5.0,-2.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815,ES-EX,6,33,2,1,,,,,2.0,2,2.0
48,10,2020-02-02,1,1,0,0,0,Galicia,1.0,3.0,19.0,9.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962568,ES-GA,6,33,2,1,,,,,1.0,1,1.0
49,11,2020-02-02,0,0,0,0,0,Illes Balears,3.0,3.0,15.0,14.0,4.0,0.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.27379395036968,ES-IB,6,33,2,1,,,,,0.0,0,0.0
50,12,2020-02-02,0,0,0,0,0,Murcia,-1.0,1.0,2.0,6.0,13.0,-2.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756,ES-MC,6,33,2,1,,,,,0.0,0,0.0
51,13,2020-02-02,6,6,0,0,0,Comunidad de Madrid,1.0,3.0,10.0,4.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924804,ES-MD,6,33,2,1,,,,,6.0,19,19.0
52,14,2020-02-02,0,0,0,0,0,Melilla,-1.0,-3.0,-2.0,-2.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898875,ES-ML,6,33,2,1,,,,,0.0,0,0.0
53,15,2020-02-02,0,0,0,0,0,Comunidad Foral de Navarra,0.0,3.0,2.0,-40.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647,ES-NC,6,33,2,1,,,,,0.0,0,0.0
54,16,2020-02-02,0,0,0,0,0,País Vasco,-8.0,-1.0,-30.0,-1.0,2.0,0.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406,ES-PV,6,33,2,1,,,,,0.0,0,0.0
55,17,2020-02-02,0,0,0,0,0,La Rioja,-2.0,1.0,-6.0,-1.0,3.0,0.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107,ES-RI,6,33,2,1,,,,,0.0,0,0.0
56,18,2020-02-02,0,0,0,0,0,Comunitat Valenciana,-2.0,2.0,9.0,4.0,3.0,0.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.1056813477483,ES-VC,6,33,2,1,,,,,0.0,5,5.0
57,0,2020-02-03,1,1,0,0,0,Andalucía,-1.0,0.0,6.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381,ES-AN,0,34,3,0,,,,,1.0,5,5.0
58,1,2020-02-03,0,0,0,0,0,Aragón,0.0,0.0,16.0,1.0,5.0,0.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103,ES-AR,0,34,3,0,,,,,0.0,0,0.0
