,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
0,AN,2020-01-31,0,0,0,0,0
1,AR,2020-01-31,0,0,0,0,0
2,AS,2020-01-31,0,0,0,0,0
3,CB,2020-01-31,0,0,0,0,0
4,CE,2020-01-31,0,0,0,0,0
5,CL,2020-01-31,0,0,0,0,0
6,CM,2020-01-31,0,0,0,0,0
7,CN,2020-01-31,0,0,0,0,0
8,CT,2020-01-31,1,1,0,0,0
9,EX,2020-01-31,0,0,0,0,0
10,GA,2020-01-31,0,0,0,0,0
11,IB,2020-01-31,0,0,0,0,0
12,MC,2020-01-31,0,0,0,0,0
13,MD,2020-01-31,4,4,0,0,0
14,ML,2020-01-31,0,0,0,0,0
15,NC,2020-01-31,0,0,0,0,0
16,PV,2020-01-31,0,0,0,0,0
17,RI,2020-01-31,0,0,0,0,0
18,VC,2020-01-31,4,3,1,0,0
19,AN,2020-02-01,2,2,0,0,0
20,AR,2020-02-01,0,0,0,0,0
21,AS,2020-02-01,0,0,0,0,0
22,CB,2020-02-01,0,0,0,0,0
23,CE,2020-02-01,0,0,0,0,0
24,CL,2020-02-01,0,0,0,0,0
25,CM,2020-02-01,0,0,0,0,0
26,CN,2020-02-01,0,0,0,0,0
27,CT,2020-02-01,8,6,0,0,2
28,EX,2020-02-01,0,0,0,0,0
29,GA,2020-02-01,0,0,0,0,0
30,IB,2020-02-01,0,0,0,0,0
31,MC,2020-02-01,0,0,0,0,0
32,MD,2020-02-01,9,9,0,0,0
33,ML,2020-02-01,0,0,0,0,0
34,NC,2020-02-01,0,0,0,0,0
35,PV,2020-02-01,0,0,0,0,0
36,RI,2020-02-01,0,0,0,0,0
37,VC,2020-02-01,1,1,0,0,0
38,AN,2020-02-02,2,1,1,0,0
39,AR,2020-02-02,0,0,0,0,0
40,AS,2020-02-02,0,0,0,0,0
41,CB,2020-02-02,0,0,0,0,0
42,CE,2020-02-02,0,0,0,0,0
43,CL,2020-02-02,0,0,0,0,0
44,CM,2020-02-02,0,0,0,0,0
45,CN,2020-02-02,1,0,0,0,1
46,CT,2020-02-02,2,1,0,0,1
47,EX,2020-02-02,2,0,2,0,0
48,GA,2020-02-02,1,1,0,0,0
49,IB,2020-02-02,0,0,0,0,0
50,MC,2020-02-02,0,0,0,0,0
51,MD,2020-02-02,6,6,0,0,0
52,ML,2020-02-02,0,0,0,0,0
53,NC,2020-02-02,0,0,0,0,0
54,PV,2020-02-02,0,0,0,0,0
55,RI,2020-02-02,0,0,0,0,0
56,VC,2020-02-02,0,0,0,0,0
57,AN,2020-02-03,1,1,0,0,0
58,AR,2020-02-03,0,0,0,0,0
59,AS,2020-02-03,0,0,0,0,0
60,CB,2020-02-03,0,0,0,0,0
61,CE,2020-02-03,0,0,0,0,0
62,CL,2020-02-03,1,0,1,0,0
63,CM,2020-02-03,0,0,0,0,0
64,CN,2020-02-03,0,0,0,0,0
65,CT,2020-02-03,3,2,0,0,1
66,EX,2020-02-03,0,0,0,0,0
67,GA,2020-02-03,1,1,0,0,0
68,IB,2020-02-03,0,0,0,0,0
69,MC,2020-02-03,0,0,0,0,0
70,MD,2020-02-03,7,7,0,0,0
71,ML,2020-02-03,0,0,0,0,0
72,NC,2020-02-03,0,0,0,0,0
73,PV,2020-02-03,0,0,0,0,0
74,RI,2020-02-03,1,1,0,0,0
75,VC,2020-02-03,5,1,3,0,1
76,AN,2020-02-04,1,0,1,0,0
77,AR,2020-02-04,0,0,0,0,0
78,AS,2020-02-04,0,0,0,0,0
79,CB,2020-02-04,0,0,0,0,0
80,CE,2020-02-04,0,0,0,0,0
81,CL,2020-02-04,1,1,0,0,0
