,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad
0,ES-AN,2020-01-31,0,0,0,0,0,Andalucía,5.0,-1.0,33.0,15.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
1,ES-AR,2020-01-31,0,0,0,0,0,Aragón,3.0,7.0,42.0,10.0,1.0,-3.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
2,ES-AS,2020-01-31,0,0,0,0,0,Principado de Asturias,0.0,-1.0,20.0,8.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
3,ES-CB,2020-01-31,0,0,0,0,0,Cantabria,6.0,4.0,53.0,4.0,-1.0,-2.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
4,ES-CE,2020-01-31,0,0,0,0,0,Ceuta,-3.0,-6.0,3.0,-38.61764705882353,-1.0,5.666666666666666,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
5,ES-CL,2020-01-31,0,0,0,0,0,Castilla y León,5.0,2.0,28.0,15.0,1.0,-3.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
6,ES-CM,2020-01-31,0,0,0,0,0,Castilla - La Mancha,9.0,0.0,36.0,13.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
7,ES-CN,2020-01-31,0,0,0,0,0,Canarias,-4.0,-2.0,5.0,0.0,-2.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
8,ES-CT,2020-01-31,1,1,0,0,0,Cataluña,2.0,-1.0,17.0,8.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
9,ES-EX,2020-01-31,0,0,0,0,0,Extremadura,4.0,-3.0,32.0,11.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
