ccaa_iso;fase;fecha;reuniones;host_int;host_ext;aforo_comercial;ocio_nocturno
ES-AN;cuarentena;3/15/2020;0;0;0;0;0
ES-AN;f0;5/4/2020;0;0;0.5;0.3;0
ES-AN;f1;5/18/2020;10;0.4;0.5;0.3;0
ES-AN;f2;6/1/2020;15;0.5;0.75;0.4;0
ES-AN;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-AN;nn;6/21/2020;25;0.75;1;0.75;0.5
ES-AR;cuarentena;3/15/2020;0;0;0;0;0
ES-AR;f0;5/4/2020;0;0;0.5;0.3;0
ES-AR;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-AR;f2;5/26/2020;15;0.5;0.75;0.4;0
ES-AR;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-AR;nn;6/21/2020;25;0.75;1;0.75;0.75
ES-AS;cuarentena;3/15/2020;0;0;0;0;0
ES-AS;f0;5/4/2020;0;0;0.5;0.3;0
ES-AS;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-AS;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-AS;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-AS;nn;6/21/2020;25;1;1;0.5;0.5
ES-IB;cuarentena;3/15/2020;0;0;0;0;0
ES-IB;f0;5/4/2020;0;0;0.5;0.3;0
ES-IB;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-IB;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-IB;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-IB;nn;6/21/2020;25;0.75;1;0.75;0.75
ES-CN;cuarentena;3/15/2020;0;0;0;0;0
ES-CN;f0;5/4/2020;0;0;0.5;0.3;0
ES-CN;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-CN;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-CN;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-CN;nn;6/21/2020;25;0.7;1;0.75;0.7
ES-CB;cuarentena;3/15/2020;0;0;0;0;0
ES-CB;f0;5/4/2020;0;0;0.5;0.3;0
ES-CB;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-CB;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-CB;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-CB;nn;6/19/2020;25;0.75;0.75;0.75;0.33
ES-CL;cuarentena;3/15/2020;0;0;0;0;0
ES-CL;f0;5/4/2020;0;0;0.5;0.3;0
ES-CL;f1;5/25/2020;10;0.4;0.5;0.3;0
ES-CL;f2;6/8/2020;15;0.5;0.75;0.4;0
ES-CL;f3;6/18/2020;20;0.5;0.75;0.5;0
ES-CL;nn;6/21/2020;25;0.75;0.75;0.75;0.33
ES-CM;cuarentena;3/15/2020;0;0;0;0;0
ES-CM;f0;5/4/2020;0;0;0.5;0.3;0
ES-CM;f1;5/18/2020;10;0.4;0.5;0.3;0
ES-CM;f2;6/1/2020;15;0.5;0.75;0.4;0
ES-CM;f3;6/15/2020;20;0.5;0.75;0.5;0
ES-CM;nn;6/21/2020;25;0.75;1;0.75;0.75
ES-CT;cuarentena;3/15/2020;0;0;0;0;0
ES-CT;f0;5/4/2020;0;0;0.5;0.3;0
ES-CT;f1;5/18/2020;10;0.4;0.5;0.3;0
ES-CT;f2;6/8/2020;15;0.5;0.75;0.4;0
ES-CT;f3;6/18/2020;20;0.5;0.75;0.5;0
ES-CT;nn;6/19/2020;25;1;1;1;1
ES-VC;cuarentena;3/15/2020;0;0;0;0;0
ES-VC;f0;5/4/2020;0;0;0.5;0.3;0
ES-VC;f1;5/18/2020;10;0.4;0.5;0.3;0
ES-VC;f2;6/1/2020;15;0.5;0.75;0.4;0
ES-VC;f3;6/15/2020;20;0.5;0.75;0.5;0
ES-VC;nn;6/21/2020;25;0.75;1;0.75;0.33
ES-EX;cuarentena;3/15/2020;0;0;0;0;0
ES-EX;f0;5/4/2020;0;0;0.5;0.3;0
ES-EX;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-EX;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-EX;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-EX;nn;6/21/2020;25;0.8;0.9;0.75;0.7
ES-GA;cuarentena;3/15/2020;0;0;0;0;0
ES-GA;f0;5/4/2020;0;0;0.5;0.3;0
ES-GA;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-GA;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-GA;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-GA;nn;6/15/2020;25;0.75;0.8;0.75;0
ES-MD;cuarentena;3/15/2020;0;0;0;0;0
ES-MD;f0;5/4/2020;0;0;0.5;0.3;0
ES-MD;f1;5/25/2020;10;0.4;0.5;0.3;0
ES-MD;f2;6/8/2020;15;0.5;0.75;0.4;0
ES-MD;f3;6/21/2020;25;0.6;0.75;0.6;0
ES-MD;nn;7/6/2020;25;0.8;1;0.75;0.4
ES-MC;cuarentena;3/15/2020;0;0;0;0;0
ES-MC;f0;5/4/2020;0;0;0.5;0.3;0
ES-MC;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-MC;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-MC;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-MC;nn;6/21/2020;25;0.75;0.75;0.75;0.75
ES-NC;cuarentena;3/15/2020;0;0;0;0;0
ES-NC;f0;5/4/2020;0;0;0.5;0.3;0
ES-NC;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-NC;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-NC;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-NC;nn;6/21/2020;25;0.75;1;0.75;0.75
ES-PV;cuarentena;3/15/2020;0;0;0;0;0
ES-PV;f0;5/4/2020;0;0;0.5;0.3;0
ES-PV;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-PV;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-PV;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-PV;nn;6/19/2020;25;1;1;1;0.6
ES-RI;cuarentena;3/15/2020;0;0;0;0;0
ES-RI;f0;5/4/2020;0;0;0.5;0.3;0
ES-RI;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-RI;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-RI;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-RI;nn;6/21/2020;25;1;1;1;0.75
ES-CE;cuarentena;3/15/2020;0;0;0;0;0
ES-CE;f0;5/4/2020;0;0;0.5;0.3;0
ES-CE;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-CE;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-CE;f3;6/15/2020;20;0.5;0.75;0.5;0
ES-CE;nn;6/21/2020;25;0.75;0.75;0.75;0.33
ES-ML;cuarentena;3/15/2020;0;0;0;0;0
ES-ML;f0;5/4/2020;0;0;0.5;0.3;0
ES-ML;f1;5/11/2020;10;0.4;0.5;0.3;0
ES-ML;f2;5/25/2020;15;0.5;0.75;0.4;0
ES-ML;f3;6/8/2020;20;0.5;0.75;0.5;0
ES-ML;nn;6/21/2020;25;0.75;1;0.75;0.75
